"","yr","pedAgeGrp","hover","se","ci_l","ci_u"
"19.0-4","19","0-4",947.6401,222.896480273722,510.771026382761,1384.50917361724
"19.5-9","19","5-9",7268.0794,1717.01793717868,3902.78608232052,10633.3727176795
"19.10-14","19","10-14",7417.7531,1302.82616764063,4864.26073330803,9971.24546669197
"19.15-19","19","15-19",768.891,214.565318599837,348.350703212957,1189.43129678704
"19.Adult","19","Adult",5269.1825,748.409827719922,3802.32619199313,6736.03880800687
"20.0-4","20","0-4",785.7182,253.378398825595,289.105663841408,1282.33073615859
"20.5-9","20","5-9",10816.0655,1968.6569244697,6957.568830124,14674.562169876
"20.10-14","20","10-14",7557.1243,1316.29707957094,4977.2294310857,10137.0191689143
"20.15-19","20","15-19",580.2285,183.977319248684,219.639580300352,940.817419699649
"20.Adult","20","Adult",6985.1133,880.563412901205,5259.24072460996,8710.98587539004
"21.0-4","21","0-4",904.533,227.024630377633,459.572900856321,1349.49309914368
"21.5-9","21","5-9",10941.7132,2289.10421326924,6455.15138513339,15428.2750148666
"21.10-14","21","10-14",6159.3644,1471.26291624882,3275.74207236294,9042.98672763706
"21.15-19","21","15-19",887.0274,238.319237124958,419.930278412022,1354.12452158798
"21.Adult","21","Adult",4639.9431,538.005547003386,3585.47160439059,5694.41459560941
"22.0-4","22","0-4",1188.1497,368.431160679955,466.037894284999,1910.261505715
"22.5-9","22","5-9",7653.605,1963.51326521092,3805.18971701995,11502.0202829801
"22.10-14","22","10-14",4184.2974,1179.27109472385,1872.96852633213,6495.62627366787
"22.15-19","22","15-19",301.8416,129.98522786911,47.0752348543118,556.607965145688
"22.Adult","22","Adult",3236.239,499.481857475201,2257.27254841744,4215.20545158256
