,yr,ageGrp,scooter,se,ci_l,ci_u
19.1.LT18,19,1.LT18,4299.444,771.3270187,2787.670823,5811.217177
20.1.LT18,20,1.LT18,4802.6615,653.7129373,3521.407687,6083.915313
21.1.LT18,21,1.LT18,7992.7448,1264.63853,5514.098828,10471.39077
22.1.LT18,22,1.LT18,9670.0509,1794.958595,6151.9967,13188.1051
19.2.GT17.LT45,19,2.GT17.LT45,17703.3171,5698.578494,6534.308489,28872.32571
20.2.GT17.LT45,20,2.GT17.LT45,15317.7769,5541.24205,4457.142053,26178.41175
21.2.GT17.LT45,21,2.GT17.LT45,30102.5496,6850.754137,16675.31823,43529.78097
22.2.GT17.LT45,22,2.GT17.LT45,31618.3684,5801.297807,20248.03364,42988.70316
19.3.GT44.LT65,19,3.GT44.LT65,5575.1461,1696.598559,2249.874029,8900.418171
20.3.GT44.LT65,20,3.GT44.LT65,5920.4542,1628.151975,2729.334967,9111.573433
21.3.GT44.LT65,21,3.GT44.LT65,9245.2402,1540.286972,6226.333209,12264.14719
22.3.GT44.LT65,22,3.GT44.LT65,12022.3705,2115.935088,7875.213934,16169.52707
19.4.GT64.LT85,19,4.GT64.LT85,1355.3645,309.7751205,748.2164205,1962.51258
20.4.GT64.LT85,20,4.GT64.LT85,2616.791,606.117082,1428.823349,3804.758651
21.4.GT64.LT85,21,4.GT64.LT85,2896.2832,520.5818222,1875.961577,3916.604823
22.4.GT64.LT85,22,4.GT64.LT85,3430.0579,653.738738,2148.753518,4711.362282
19.5.GT84,19,5.GT84,559.854,291.4588523,-11.39485346,1131.102853
20.5.GT84,20,5.GT84,536.9655,175.8808273,192.245413,881.685587
21.5.GT84,21,5.GT84,373.4342,156.4457592,66.8061465,680.0622535
22.5.GT84,22,5.GT84,289.4735,125.71956,43.0676903,535.8793097
